lines in the fastq	Real time elapsed (hh:mm:ss)
10000000	8:39.26
50000000	47:34.61
90000000	1:23:45
130000000	2:00:38
170000000	2:36:58
210000000	3:14:16
250000000	3:43:52
290000000	4:27:32
330000000	5:16:16
370000000	5:22:48
410000000	5:13:53
450000000	5:49:27
490000000	6:18:42
